,Citricos Frutal,Citricos,Citricos-Frutal de cascara,Citricos-Viñedo,Frutal de Cascara-Frutal,Frutal de Cascara-Olivar,Frutal de Cascara,Frutal de Cascara-Viñedo,Frutal,Imvernadero y cultivos bajo plastico,Olivar-Citricos,Olivar-Frutal,Olivar,Tierra Arable,Huerta,Frutal-Viñedo,Viñedo,Olivar-Viñedo
TP,5613,2746907,62,55,158,417,929182,2,464087,14982,6696,1700,13581729,39392414,47042,845,65853,886
FN,3317,561610,194,0,152,919,616828,8,311007,37838,5310,1142,11846960,11174618,29226,322,34990,914
Hit rate,0.6285554311310191,0.8302532524390838,0.2421875,1.0,0.5096774193548387,0.312125748502994,0.6010193983221325,0.2,0.5987493129865539,0.2836425596365013,0.5577211394302849,0.5981703026038001,0.5341104686914846,0.7790137653323217,0.6167986573661299,0.7240788346186804,0.6530249992562697,0.4922222222222222
