,Citricos Frutal,Citricos,Citricos-Frutal de cascara,Citricos-Viñedo,Frutal de Cascara-Frutal,Frutal de Cascara-Olivar,Frutal de Cascara,Frutal de Cascara-Viñedo,Frutal,Imvernadero y cultivos bajo plastico,Olivar-Citricos,Olivar-Frutal,Olivar,Tierra Arable,Huerta,Frutal-Viñedo,Viñedo,Olivar-Viñedo
TP,7,26,0,78689,115,6844,258062,92,235756,905,411,4768,24289569,3070697,21523,600,14025,2022
FN,20481,840,31,16,70883,7652,370890,576,586604,7310,877,5664,33531421,3002633,30242,1057,17045,2108
Hit rate,0.0003416634127294026,0.03002309468822171,0.0,0.9997967092306715,0.0016197639370123102,0.47213024282560706,0.4103047609356517,0.1377245508982036,0.28668223162605183,0.11016433353621424,0.3190993788819876,0.4570552147239264,0.4200822054413112,0.5056035156989658,0.415782864870086,0.3621001810500905,0.4514000643707757,0.48958837772397096
