         ,Citricos Frutal          ,Citricos                ,Citricos-Frutal de cascara ,Citricos-Viñedo        ,Frutal de Cascara-Frutal ,Frutal de Cascara-Olivar ,Frutal de Cascara        ,Frutal de Cascara-Viñedo ,Frutal                    ,Imvernadero y cultivos bajo plastico ,Olivar-Citricos        ,Olivar-Frutal           ,Olivar                   ,Tierra Arable             ,Huerta                   ,Frutal-Viñedo         ,Viñedo                  ,Olivar-Viñedo
TP       , 12273                   ,527627                  ,     132                   ,28067                  ,   239                   ,  8472                   ,1876250                  ,   1335                  , 467999                   ,            443887                   , 4543                  , 3727                   , 297800                  ,2981788                   ,160659                   , 757                  ,58117                   ,2144
FN       ,311588                   ,320755                  ,    1170                   ,  600                  ,  4389                   , 26163                   ,3697743                  ,   2856                  ,2385042                   ,           2368267                   ,10798                  ,14490                   ,1571997                  ,6020443                   ,265860                   ,2220                  ,79183                   ,3560
Hit rate ,     0.03789588743318893 ,     0.6219214929123908 ,       0.10138248847926268 ,    0.9790700108138277 ,     0.05164217804667243 ,     0.24460805543525335 ,      0.3366078859446002 ,      0.3185397279885469 ,      0.16403514705887506 ,                 0.15784590744319124 ,    0.2961345414249397 ,    0.20458912005269803 ,      0.1592686264872604 ,      0.33122767011866283 ,     0.37667489607731425 ,   0.2542828350688613 ,    0.42328477785870355 ,   0.3758765778401122
