         ,Citricos Frutal           ,Citricos               ,Citricos-Frutal de cascara ,Citricos-Viñedo          ,Frutal de Cascara-Frutal  ,Frutal de Cascara-Olivar ,Frutal de Cascara        ,Frutal de Cascara-Viñedo ,Frutal                    ,Imvernadero y cultivos bajo plastico ,Olivar-Citricos         ,Olivar-Frutal          ,Olivar                     ,Tierra Arable           ,Huerta                  ,Frutal-Viñedo          ,Viñedo                  ,Olivar-Viñedo
TP       ,  2085                    ,16210                  ,     719                   ,2093561                  ,  5578                    , 10333                   ,4654941                  ,  1623                   ,1548675                   ,             35363                   ,17898                   ,4003                   , 9483693                   ,8986846                 ,45449                   ,16963                  ,105507                  ,1440
FN       ,560580                    ,28058                  ,    2205                   ,    189                  ,745537                    , 19204                   ,4343541                  ,  3410                   ,2687598                   ,            325613                   ,50226                   ,5918                   ,10357213                   ,7784343                 ,47560                   ,36420                  ,140799                  ,2520
Hit rate ,     0.003705579696622324 ,    0.3661787295563387 ,       0.24589603283173733 ,      0.9999097313432835 ,     0.007426292911205341 ,     0.34983241358296374 ,      0.5173029184255744 ,     0.32247168686667993 ,      0.36557488150551204 ,                 0.09796496165950092 ,    0.26272679231988727 ,   0.40348755165809896 ,       0.47798689233243685 ,      0.535850260825276 ,    0.48865163586319604 ,    0.3177603356873911 ,     0.4283574090765146 ,   0.36363636363636365
