,Citricos Frutal,Citricos,Citricos-Frutal de cascara,Citricos-Viñedo,Frutal de Cascara-Frutal,Frutal de Cascara-Olivar,Frutal de Cascara,Frutal de Cascara-Viñedo,Frutal,Imvernadero y cultivos bajo plastico,Olivar-Citricos,Olivar-Frutal,Olivar,Tierra Arable,Huerta,Frutal-Viñedo,Viñedo,Olivar-Viñedo
TP,55062,652120,434,77,942,55860,520785,487,1279687,11442,5530,9311,7850621,6908432,118231,9937,135772,31198
FN,39882,285683,762,197,5860,140465,1169308,1310,2557031,81995,5111,27102,5927193,2169016,119761,18747,133648,66822
Hit rate,0.5799418604651163,0.6953699231075183,0.362876254180602,0.28102189781021897,0.1384886798000588,0.2845282057812301,0.30813984792552834,0.27100723427935447,0.3335368927296716,0.12245684257842182,0.519687999248191,0.2557053799467223,0.5698016390698843,0.7610544285133883,0.4967856062388652,0.3464300655417654,0.5039418009056492,0.31828198326872065
