,Citricos Frutal,Citricos,Citricos-Frutal de cascara,Citricos-Viñedo,Frutal de Cascara-Frutal,Frutal de Cascara-Olivar,Frutal de Cascara,Frutal de Cascara-Viñedo,Frutal,Imvernadero y cultivos bajo plastico,Olivar-Citricos,Olivar-Frutal,Olivar,Tierra Arable,Huerta,Frutal-Viñedo,Viñedo,Olivar-Viñedo
TP,9461,116030,42,18,153,113,92409,62,209724,9600,524,1032,1237576,18802928,131473,1512,89293,1073
FN,4449,62946,1,15,33,180,118733,31,190168,50107,331,726,2057380,5183033,63462,2431,635466,2511
Hit rate,0.6801581595974119,0.6482992133023422,0.9767441860465116,0.5454545454545454,0.8225806451612904,0.3856655290102389,0.4376628051264078,0.6666666666666666,0.5244516019325218,0.16078516756829184,0.6128654970760234,0.5870307167235495,0.3755971248174482,0.7839138902960778,0.6744453279298228,0.38346436723307126,0.12320371323433031,0.2993861607142857
